Team1_Won,BowlersUsed_Margin_Overall,DotBalls_Margin_Overall,ExtrasConceded_Margin_Overall,Runs_Margin_Powerplay,Runs_Margin_MiddleOvers,Runs_Margin_DeathOvers,Fours_Margin_Powerplay,Fours_Margin_MiddleOvers,Fours_Margin_DeathOvers,Sixes_Margin_Powerplay,Sixes_Margin_MiddleOvers,Sixes_Margin_DeathOvers,WicketsTaken_Margin_Powerplay,WicketsTaken_Margin_MiddleOvers,WicketsTaken_Margin_DeathOvers
1,0,-42.0,6.0,-4.0,32.0,36.0,6.0,0.0,8.0,-6.0,4.0,-2.0,6.0,2.0,-4.0
0,1,16.0,-14.0,2.0,-48.0,10.0,4.0,6.0,2.0,-2.0,-12.0,0.0,0.0,0.0,-4.0
1,0,0.0,18.0,82.0,-6.0,-42.0,8.0,-8.0,4.0,8.0,4.0,-10.0,4.0,0.0,2.0
0,2,4.0,-28.0,-24.0,26.0,-60.0,2.0,6.0,-4.0,-4.0,-2.0,-8.0,-4.0,4.0,-4.0
0,0,18.0,2.0,-22.0,-4.0,-12.0,0.0,-4.0,6.0,-6.0,2.0,-10.0,0.0,-2.0,-2.0
1,0,-20.0,-12.0,-4.0,58.0,66.0,6.0,10.0,4.0,-4.0,4.0,6.0,4.0,2.0,10.0
0,-1,40.0,-18.0,-8.0,-50.0,12.0,0.0,-8.0,6.0,0.0,-2.0,-2.0,-6.0,-2.0,-4.0
0,0,12.0,6.0,-36.0,-14.0,26.0,-8.0,0.0,-2.0,0.0,-2.0,4.0,-2.0,-2.0,2.0
0,1,4.0,-16.0,-4.0,-90.0,54.0,0.0,-12.0,6.0,-2.0,-6.0,4.0,2.0,-2.0,-6.0
1,2,4.0,10.0,-28.0,-6.0,38.0,-6.0,-6.0,0.0,-2.0,8.0,6.0,2.0,0.0,4.0
1,-1,-2.0,6.0,22.0,8.0,20.0,6.0,-4.0,0.0,2.0,0.0,4.0,-4.0,6.0,0.0
0,-1,54.0,-10.0,-124.0,-2.0,106.0,-14.0,-4.0,16.0,-12.0,2.0,4.0,-4.0,6.0,-4.0
1,0,-36.0,6.0,22.0,38.0,-20.0,0.0,8.0,-4.0,0.0,0.0,-2.0,2.0,2.0,-2.0
1,-1,-6.0,-12.0,44.0,26.0,80.0,8.0,2.0,10.0,2.0,6.0,2.0,0.0,10.0,0.0
0,1,-16.0,16.0,54.0,-70.0,-2.0,-6.0,-12.0,-8.0,4.0,-8.0,0.0,6.0,-10.0,-6.0
1,0,-38.0,28.0,28.0,-12.0,32.0,4.0,2.0,4.0,2.0,-8.0,0.0,0.0,-4.0,6.0
0,-1,46.0,-2.0,-124.0,-30.0,110.0,-22.0,0.0,14.0,-10.0,-12.0,2.0,-4.0,-4.0,0.0
1,1,-4.0,-4.0,-32.0,34.0,110.0,-10.0,-2.0,4.0,0.0,6.0,12.0,-2.0,8.0,6.0
1,0,-40.0,2.0,24.0,72.0,-12.0,-2.0,2.0,-2.0,4.0,6.0,-4.0,6.0,2.0,4.0
1,1,-16.0,12.0,-18.0,68.0,-2.0,-4.0,4.0,0.0,0.0,8.0,-2.0,-6.0,6.0,2.0
0,1,16.0,2.0,-12.0,-18.0,4.0,2.0,-6.0,-4.0,-2.0,0.0,2.0,2.0,2.0,0.0
1,1,-22.0,-8.0,12.0,2.0,58.0,-2.0,-6.0,2.0,2.0,4.0,6.0,4.0,2.0,-2.0
1,1,-16.0,-4.0,12.0,-10.0,14.0,0.0,-2.0,4.0,2.0,-2.0,0.0,6.0,0.0,4.0
0,-1,16.0,-2.0,-6.0,26.0,-36.0,-4.0,8.0,6.0,2.0,0.0,-10.0,4.0,-6.0,-2.0
1,-2,-16.0,0.0,-12.0,30.0,12.0,4.0,-10.0,2.0,-6.0,8.0,4.0,-2.0,4.0,-4.0
1,1,8.0,14.0,4.0,30.0,22.0,-6.0,0.0,0.0,4.0,6.0,6.0,4.0,2.0,-2.0
0,1,4.0,14.0,-36.0,4.0,16.0,-2.0,4.0,0.0,-8.0,-2.0,2.0,4.0,2.0,-4.0
0,0,26.0,8.0,-24.0,-50.0,66.0,-8.0,-6.0,4.0,-4.0,-8.0,4.0,-6.0,-4.0,-4.0
0,1,8.0,4.0,-18.0,18.0,-26.0,-12.0,2.0,-6.0,4.0,2.0,-2.0,-2.0,2.0,-2.0
1,2,-30.0,-6.0,54.0,4.0,8.0,6.0,0.0,-10.0,4.0,0.0,4.0,-4.0,4.0,0.0
0,0,64.0,-4.0,-58.0,14.0,38.0,-6.0,0.0,2.0,-6.0,-2.0,2.0,-4.0,-6.0,-6.0
1,0,-7.0,-2.0,-31.0,24.0,9.0,-3.0,4.0,2.0,-4.0,2.0,0.0,-2.0,2.0,0.0
0,0,15.0,-2.0,-27.0,8.0,-5.0,-2.0,2.0,0.0,-2.0,1.0,-1.0,-1.0,-1.0,-1.0
